lag	message	stream_pos	ninemer	internal_pattern	register	context
35	East2	278832	aeinähnyt	...A..A..	verse	ähnyt sitä taloa, kuss' ei kolmea kotoa, ei nähnyt sitä kotoa, kuss' ei kolmea urosta, ei nähnyt sitä urosta, ku ei miekkoa hionut,
35	East2	286393	aeiolluts	....AA...	verse	nen kahen kävimme suurilla sotatiloilla? ei ollut sitä kyleä, kuss' ei kymmenen taloa; ei ollut sitä taloa, kuss' ei kymmenen urosta;
35	East2	286410	kusseikym	A.BB..A..	verse	sotatiloilla? ei ollut sitä kyleä, kuss' ei kymmenen taloa; ei ollut sitä taloa, kuss' ei kymmenen urosta; ei ollut sitä urosta
35	East2	290673	pannapalj	ABCCBAB..	verse	ite tulehen, asetu alasimelle sepän panna paljallansa, vasaralla valkkaella, panna paljalla lujasti, vasaralla vaikeasti!
35	East2	309318	karjankäy	AB..B.A..	verse	ti suolle, silloin korpehen kokeos! karjan käyessä mäkeä astu sie mäen alatse; karjan käyessä alatse mene sie mäkeä myöten!
35	East2	324298	nmukahans	A...B.BA.	verse	i, airo käessä arvelevi: "veänkö väen mukahan, souan tarmoni takoa vai veän asun mukahan, souan tarpehen takoa?" perimies perält
35	East2	355689	sulhotsou	AB..C.ACB	verse	erellä, lumpehina lainehilla!" pani sulhot soutamahan, neiet ilman istumahan. sulhot souti, airot notkui: eipä matka eistykän
35	East2	355768	neietsout	.A.AB...B	verse	notkui: eipä matka eistykänä. pani neiet soutamahan, sulhot ilman istumahan. neiet souti, sormet notkui: eipä matka eistykän
35	East2	393734	elevikult	ABA....B.	verse	käki kukahtelevi, sanoin viisin virkkelevi, kulta suusta kumpuavi, hopea valahtelevi kultaiselle kunnahalle, hope'iselle mäell
35	East2	550468	väinämöis	.AB.A..B.	verse	n. maatessaan verkkoja laaitaan joelle, väinämöisen ei iäti jälelle päästä. siitä väinämöisen piti muiksi ruveta, pienemmäksi muut
35	East2	581963	etsitähän	.A..AB.B.	verse	eikä sen erän perästä. etsitähän iskiätä, katsotahan kaatajata; etsitähän tuonelasta, 60. manalasta maanki
35	East2	604652	iteltuasi	AB..B...A	verse	iitän mä emo sinua nuorra tuuviteltuasi, pienosna pieltyäsi, maion ruokiteltuasi. kiitän mä koko perehen,
35	East2	608089	itkolinna	A....ABB.	verse	i imantehena, saitko neien, voitko linnan, sorritko sotiveräjän, haukutitko linnan hallit, itketitkö linnan im
